"","ativo","base","id","Model","Mean.Hits","Var.Hits"
"152","14 - SSMI - final","train",12,"rangeValue",0.0505194694694695,4.87895170394208e-05
"153","14 - SSMI - final","train",13,"trigGARCH",0.0818128128128128,6.24166432443203e-05
"154","14 - SSMI - final","train",14,"trvGARCH",0.0499639139139139,3.32072924573382e-05
"155","14 - SSMI - final","valid",1,"Adaptive",0.0493461448598131,6.67912850956077e-07
"156","14 - SSMI - final","valid",2,"symmetricAbs",0.0410171728971963,2.35541140321479e-05
"157","14 - SSMI - final","valid",3,"IndirectGARCH",0.0418417056074766,3.07328718205647e-05
"158","14 - SSMI - final","valid",4,"standardGARCHmu",0.0269365654205607,4.31454760769387e-05
"159","14 - SSMI - final","valid",5,"linearGARCH",0.0410185747663551,2.35538859098355e-05
"160","14 - SSMI - final","valid",6,"linearGARCHmu",0.020451285046729,3.90510813398377e-05
"161","14 - SSMI - final","valid",7,"GJRGARCH",0.0403766355140187,1.65902009557296e-05
"162","14 - SSMI - final","valid",8,"GJRGARCHmu",0.0166139018691589,1.62123378989493e-05
"163","14 - SSMI - final","valid",9,"linearTGARCH",0.0410328271028037,2.35410831047116e-05
"164","14 - SSMI - final","valid",10,"linearTGARCHmu",0.0206330607476636,3.24677598061101e-05
"165","14 - SSMI - final","valid",11,"TCAV",0.0383003504672897,1.90189306394557e-05
"166","14 - SSMI - final","valid",12,"rangeValue",0.0374705607476635,4.20728210625967e-05
"167","14 - SSMI - final","valid",13,"trigGARCH",0.0731955607476635,6.72052411508592e-05
"168","14 - SSMI - final","valid",14,"trvGARCH",0.0457517523364486,5.12117907330047e-05
"169","15 - FCHI - final","train",1,"Adaptive",0.0497753253253253,8.968688309912e-08
"170","15 - FCHI - final","train",2,"symmetricAbs",0.0517817817817818,1.18509805682475e-05
"171","15 - FCHI - final","train",3,"IndirectGARCH",0.0318712212212212,1.93267458648238e-05
"172","15 - FCHI - final","train",4,"standardGARCHmu",0.0500374374374374,7.26376423750533e-05
"173","15 - FCHI - final","train",5,"linearGARCH",0.0517832332332332,1.1866282608817e-05
"174","15 - FCHI - final","train",6,"linearGARCHmu",0.0649539039039039,9.06649664107837e-05
"175","15 - FCHI - final","train",7,"GJRGARCH",0.0511406906906907,6.82126553326569e-06
"176","15 - FCHI - final","train",8,"GJRGARCHmu",0.0497844344344344,7.18434068060725e-05
"177","15 - FCHI - final","train",9,"linearTGARCH",0.0518762262262262,1.18867437747405e-05
"178","15 - FCHI - final","train",10,"linearTGARCHmu",0.0333442442442442,4.12049844771124e-05
"179","15 - FCHI - final","train",11,"TCAV",0.0526114114114114,8.02866939413568e-06
"180","15 - FCHI - final","train",12,"rangeValue",0.0501727227227227,5.59860349050394e-05
"181","15 - FCHI - final","train",13,"trigGARCH",0.0673689189189189,2.79490288378928e-05
"182","15 - FCHI - final","train",14,"trvGARCH",0.0518216216216216,3.71379594851516e-05
"183","15 - FCHI - final","valid",1,"Adaptive",0.0498646028037383,2.41550283482323e-07
"184","15 - FCHI - final","valid",2,"symmetricAbs",0.0435114485981308,2.13351179166744e-05
"185","15 - FCHI - final","valid",3,"IndirectGARCH",0.0189607476635514,1.07895572476361e-05
"186","15 - FCHI - final","valid",4,"standardGARCHmu",0.0274459112149533,2.81846950308701e-05
"187","15 - FCHI - final","valid",5,"linearGARCH",0.0435132009345794,2.13339035257265e-05
"188","15 - FCHI - final","valid",6,"linearGARCHmu",0.0397875,5.44843694342633e-05
"189","15 - FCHI - final","valid",7,"GJRGARCH",0.0428184579439252,1.47904302997904e-05
"190","15 - FCHI - final","valid",8,"GJRGARCHmu",0.0274459112149533,2.81846950308701e-05
"191","15 - FCHI - final","valid",9,"linearTGARCH",0.0436082943925234,2.14058586976151e-05
"192","15 - FCHI - final","valid",10,"linearTGARCHmu",0.0163,1.47797270607934e-05
"193","15 - FCHI - final","valid",11,"TCAV",0.041813785046729,1.80542938332622e-05
"194","15 - FCHI - final","valid",12,"rangeValue",0.0281665887850467,3.64794600002191e-05
"195","15 - FCHI - final","valid",13,"trigGARCH",0.0558389018691589,2.72051232976746e-05
"196","15 - FCHI - final","valid",14,"trvGARCH",0.0318130841121495,3.51839299644364e-05
"197","16 - CACT - final","train",1,"Adaptive",0.048778028028028,4.84472097951451e-07
"198","16 - CACT - final","train",2,"symmetricAbs",0.051845045045045,1.23794512239368e-05
"199","16 - CACT - final","train",3,"IndirectGARCH",0.0385492492492492,3.28695525147328e-05
"200","16 - CACT - final","train",4,"standardGARCHmu",0.0500333333333333,7.17323318291059e-05
"201","16 - CACT - final","train",5,"linearGARCH",0.0518388888888889,1.23798832112041e-05
"202","16 - CACT - final","train",6,"linearGARCHmu",0.0348096096096096,3.97026251596165e-05
"203","16 - CACT - final","train",7,"GJRGARCH",0.0516141641641642,7.19511918798573e-06
"204","16 - CACT - final","train",8,"GJRGARCHmu",0.0497817817817818,7.08647041527231e-05
"205","16 - CACT - final","train",9,"linearTGARCH",0.0518740740740741,1.22849468465939e-05
"206","16 - CACT - final","train",10,"linearTGARCHmu",0.0406024024024024,4.77954137662656e-05
"207","16 - CACT - final","train",11,"TCAV",0.0515100600600601,8.86771595958228e-06
"208","16 - CACT - final","train",12,"rangeValue",0.0503206206206206,6.43416995835728e-05
"209","16 - CACT - final","train",13,"trigGARCH",0.0947155655655656,3.3881173933286e-05
"210","16 - CACT - final","train",14,"trvGARCH",0.0520993993993994,1.3632234543594e-05
"211","16 - CACT - final","valid",1,"Adaptive",0.0492769859813084,7.32269333048198e-07
"212","16 - CACT - final","valid",2,"symmetricAbs",0.0442514018691589,2.20516515740916e-05
"213","16 - CACT - final","valid",3,"IndirectGARCH",0.0251892523364486,2.40390520675539e-05
"214","16 - CACT - final","valid",4,"standardGARCHmu",0.0297898364485981,3.36476998075613e-05
"215","16 - CACT - final","valid",5,"linearGARCH",0.0442484813084112,2.20533438588976e-05
"216","16 - CACT - final","valid",6,"linearGARCHmu",0.0142948598130841,1.30853850043308e-05
"217","16 - CACT - final","valid",7,"GJRGARCH",0.0432878504672897,1.36981778834586e-05
"218","16 - CACT - final","valid",8,"GJRGARCHmu",0.0297898364485981,3.36476998075613e-05
"219","16 - CACT - final","valid",9,"linearTGARCH",0.0443177570093458,2.20392252963651e-05
"220","16 - CACT - final","valid",10,"linearTGARCHmu",0.0179150700934579,2.04971882308814e-05
"221","16 - CACT - final","valid",11,"TCAV",0.0393776869158878,1.73760032462209e-05
"222","16 - CACT - final","valid",12,"rangeValue",0.0333705607476635,4.13674382618685e-05
"223","16 - CACT - final","valid",13,"trigGARCH",0.0861974299065421,4.69018150188689e-05
"224","16 - CACT - final","valid",14,"trvGARCH",0.0459654205607477,1.89798078403348e-05
